"Product Name"," Product Code"," Expected"," Counted"
"Vitamin Tree Water Gel (3Ml) Sample",IMF7007,65,
"Moist Soothing Cream (Sample)",DK7010,49,
"Spot Saver Mugwort Powder Wash (Sachet)",ISN1040,39,
"Ginseng Serum ( Sample )",IMF7001,36,
"Vitamin 75 Maximizing Cream (Sample)",BWD7005,18,
"Gentle Black Deep Cleansing Oil (Sample)",DK7007,43,
"Tea Tree 80 Cream (Sample)",DCL7007,25,
"Supple Preparation Facial Toner (Sample)",DK7014,45,
"Supple Preparation Unscented Toner(Sample)",DK7015,34,
"Supple Preparation All Over Lotion (Sample)",DK7013,13,
"Fundamental Eye Awakening Gel (Sample)",DK7003,12,
"Fundamental Water Gel Cream 1.5 Ml (Sample)",DK7005,14,
"Rice Serum Sample 1G",IMF7006,0,
"Hyaluronic Acid Powder Wash (1G)",ISN1024,16,
"Natural Vitamin 21.5 Enhancing Sheet Mask (23Ml)",BWD1009,17,
"Hyaluronic Acid Deep Moisture Water Mask (25G X 1Ea)",ISN1018,0,
"Midnight Blue Calming Sheet Mask",DK1025,12,
"Fundamental Watery Oil Drop 1.5 Ml (Sample)",DK7006,21,
"Moist Soothing Serum (Sample)",DK7011,48,
"Polyphenols In Propolis 15% Ampoule 1.5 Ml",BWD7002,7,
"Gentle Black Cleansing Puff (5G)",DK1015,18,
"Fundamental Nourishing Eye Butter (Sample)",DK7004,36,
"I Am Aloe Mask Sheet ? Moisturizing",TNM1008,1,
"I Am Rice Mask Sheet ? Brightening",TNM1015,0,
"Midnight Blue Calming Cream (Sample)",DK7009,29,
"I Am Red Wine Mask Sheet ? Pore Care",TNM1014,0,
"Acne Pimple Master Patch",CRX1006,6,
"Freshly Juiced Vitamin E Mask (Sample)",DK7002,8,
"I Am Lemon Mask Sheet - Brightening",TNM1011,6,
"Zero Complex Whitening & Moistureizing Total Care Mask Pack (25G)",OAC1001,24,
"I Am Tea Tree Mask Sheet ? Calming",TNM1017,0,
"Royal Vita Propolis 33 Cream (Sample)1.5 Ml",DCL7005,6,
"Silicon Brush",IMF1029,8,
"Fig Boosting Essence Miniature (30Ml)",IMF1002,9,
"Fig Scrub Mask Miniature (31Ml)",IMF1005,10,
"Rosemary Balancing Scalp Pack 50Ml",RG1008,17,
"Tamanu Oil Soothing Scalp Pack 50Ml",RG1010,18,
"Freshly Juiced Vitamin Drop(35Ml)",DK1007,5,
"Supple Preparation Facial Toner 30Ml",DK1036,9,
"Honey Mask(30G).",IMF1012,8,
"Hibiscus Moisturizing Scalp Pack 50Ml",RG1002,13,
"Green Multi-Vitamin Vltal Nutriton Serum 3Ml",BNJ7004,8,
"Quad Active Boosting Essence 2 Ml (Sample)",BWD7004,5,
"Fig Boosting Essence (150Ml)",IMF1001,8,
"Multi Function Cotton Pads (70 Ea)",BWD1008,5,
"Polyphenols In Propolis 15% Ampoule",BWD1011,6,
"Vitamin 75 Maximizing Cream (50Ml)",BWD1019,4,
"Pro-Biome Balance Cream 1.5 Ml (Sample)",BWD7003,2,
"Tea Tree Purifine 70 Toner (Sample)",DCL7008,1,
"Freshly Juiced Vitamin E Mask ( 15 Ml )",DK1008,5,
"Fundamental Eye Awakening Gel (35Ml)",DK1011,5,
"Fundamental Nourishing Eye Butter",DK1012,7,
"Rich Moist Soothing Serum",DK1031,2,
"Supple Preparation Facial Toner(180Ml)",DK1037,6,
"Supple Preparation Unscented Toner (30Ml)",DK1039,6,
"Pear Serum Sample (1Ml)",IMF7005,0,
"Mad Lash Mascara Black Travel Size 4.5Ml",TBM1018,7,
"I Am Seaweeds Mask Sheet ?Purifying",TNM1016,0,
"Green Multi-Vitamin Vital Nutrition Cream 3Ml",BNJ7003,4,
"Tea Tree Purifine Soothing Mask 25 Ml",DCL1037,16,
"Fundamental Water Gel Cream",DK1013,5,
"Midnight Blue Youth Activating Drop(20Ml)",DK1026,4,
"Rich Moist Foaming Cleanser(100Ml)",DK1029,7,
"Rich Moist Soothing Cream (80Ml)",DK1030,2,
"Supple Preparation Unscented Toner (180Ml)",DK1038,7,
"Toner Mate 2In1 Cotton Pad (120Ea)",DK1040,6,
"Rice Cream (50G)",IMF1024,3,
"Rice Toner (150Ml)",IMF1027,2,
"Vitamin Tree Water Gel(75G)",IMF1031,0,
