Product Name, Product Code, Expected, Counted
Spot Saver Mugwort Powder Wash (Sachet),ISN1040,94,0
Moist Soothing Cream (Sample),DK7010,17,0
Hyaluronic Acid Powder Wash (1G),ISN1024,50,0
Moist Soothing Serum (Sample),DK7011,17,0
Vitamin 75 Maximizing Cream (Sample),BWD7005,23,0
Fundamental Eye Awakening Gel (Sample),DK7003,5,0
Supple Preparation Facial Toner (Sample),DK7014,30,0
Zero Complex Whitening & Moistureizing Total Care Mask Pack (25G),OAC1001,17,0
Supple Preparation Unscented Toner(Sample),DK7015,19,0
Vitamin Tree Water Gel (3Ml) Sample,IMF7007,3,0
M Perfect Bb Cream 31 (Sample),MSH7009,21,0
M Perfect Bb Cream 13 (Sample),MSH7005,21,0
Pear Serum Sample (1Ml),IMF7005,0,0
Freshly Juiced Vitamin E Mask (Sample),DK7002,19,0
All Clean Hand Sanitizer (50Ml),DPC1002,0,0
Hyaluronic Acid Deep Moisture Water Mask (25G X 1Ea),ISN1018,8,0
Gentle Black Deep Cleansing Oil (Sample),DK7007,14,0
Tea Tree Purifine Soothing Mask 25 Ml,DCL1037,12,0
Pro-Biome Balance Cream 1.5 Ml (Sample),BWD7003,0,0
Midnight Blue Calming Cream (Sample),DK7009,17,0
Fundamental Watery Oil Drop 1.5 Ml (Sample),DK7006,15,0
Supple Preparation All Over Lotion (Sample),DK7013,2,0
Rice Serum Sample 1G,IMF7006,7,0
Vita Propolis Anti Oxidant Mask 30 Ml,DCL1042,19,0
Compressed Flocking Puff(Square) (2Ps Per Pack),MSH1010,13,0
Artless Glow Base (Spf 50+ Pa+++) 3Ml,HMS7004,0,0
Honey Mask (3Ml) Sample,IMF7003,0,0
Polyphenols In Propolis 15% Ampoule 1.5 Ml,BWD7002,6,0
Quad Active Boosting Essence 2 Ml (Sample),BWD7004,0,0
Mandelic Acid 5% Skin Prep Water - Miniature (30 Ml),BWD1006,4,0
Gentle Black Cleansing Puff (5G),DK1015,7,0
Fundamental Nourishing Eye Butter (Sample),DK7004,18,0
Multi Function Cotton Pads (70 Ea),BWD1008,4,0
Mugwort Mask (30 G),IMF1020,0,0
Acne Pimple Master Patch,CRX1006,11,0
Supple Preparation Facial Toner(180Ml),DK1037,6,0
All Clean Low Ph Balancing Vegan Essence 3Ml,HMS1007,7,0
Bulgarian Rose Satin Cream Sample Sachet,HMS7006,1,0
Natural Vitamin 21.5 Enhancing Sheet Mask (23Ml),BWD1009,21,0
Supple Preparation Facial Toner 30Ml,DK1036,8,0
Supple Preparation Unscented Toner (30Ml),DK1039,6,0
